Frequency (Hz)	Level (dB)
380.868530	-75.400124
381.541443	-73.705421
382.214355	-73.750717
382.887268	-74.136925
383.560181	-71.783081
384.233093	-74.102051
384.906006	-72.792168
385.578918	-75.382072
386.251831	-75.361710
386.924744	-74.466980
387.597656	-73.480240
388.270569	-74.339722
388.943481	-74.327942
389.616394	-74.401520
390.289307	-73.991295
390.962219	-76.564079
391.635132	-72.451096
392.308044	-74.581375
392.980957	-75.327179
393.653870	-74.189575
394.326782	-74.110031
394.999695	-73.916656
395.672607	-74.400719
396.345520	-71.910187
397.018433	-74.850365
397.691345	-73.963951
398.364258	-73.966805
399.037170	-72.925522
399.710083	-72.315758
400.382996	-74.255295
401.055908	-74.697006
401.728821	-73.232201
402.401733	-75.114136
403.074646	-72.670723
403.747559	-74.155312
404.420471	-74.417206
405.093384	-73.408257
405.766296	-76.450783
406.439209	-73.878563
407.112122	-74.716621
407.785034	-72.300453
408.457947	-75.167877
409.130859	-74.708450
409.803772	-76.844200
410.476685	-72.934998
411.149597	-72.144943
411.822510	-73.467659
412.495422	-73.535522
413.168335	-73.786346
413.841248	-72.114296
414.514160	-75.649223
415.187073	-72.329590
415.859985	-73.751976
416.532898	-76.024902
417.205811	-74.658531
417.878723	-74.434280
418.551636	-74.072617
419.224548	-74.845917
419.897461	-73.809769
420.570374	-73.070709
421.243286	-72.717201
421.916199	-72.264275
422.589111	-73.410217
423.262024	-72.231895
423.934937	-74.622047
424.607849	-75.399323
425.280762	-74.112701
425.953674	-74.592407
426.626587	-73.570480
427.299500	-73.044304
427.972412	-73.679695
428.645325	-73.012398
429.318237	-74.388130
429.991150	-73.355469
430.664062	-74.558716
431.336975	-72.906349
432.009888	-75.493828
432.682800	-74.968155
433.355713	-74.926933
434.028625	-75.402336
434.701538	-74.409111
435.374451	-74.080315
436.047363	-73.665527
436.720276	-71.729721
437.393188	-74.141426
438.066101	-73.558815
438.739014	-71.501755
439.411926	-71.585587
440.084839	-73.073647
440.757751	-72.362144
441.430664	-73.272484
442.103577	-73.753159
442.776489	-73.742676
