Frequency (Hz)	Level (dB)
598.892212	-69.395454
599.565125	-67.978958
600.238037	-67.051552
600.910950	-69.979485
601.583862	-70.218880
602.256775	-69.222305
602.929688	-68.551682
603.602600	-67.581406
604.275513	-66.971672
604.948425	-68.363747
605.621338	-67.671623
606.294250	-68.280655
606.967163	-67.864944
607.640076	-68.445068
608.312988	-68.221901
608.985901	-68.093971
609.658813	-66.615395
610.331726	-67.488327
611.004639	-68.448700
611.677551	-68.678848
612.350464	-67.360283
613.023376	-67.819107
613.696289	-66.684395
614.369202	-66.952873
615.042114	-67.375748
615.715027	-68.111847
616.387939	-68.940353
617.060852	-67.599480
617.733765	-70.208008
618.406677	-67.104927
619.079590	-67.025574
619.752502	-67.690971
620.425415	-64.886276
621.098328	-66.915581
621.771240	-67.359200
622.444153	-66.797279
623.117065	-65.905243
623.789978	-64.019852
624.462891	-65.540802
625.135803	-65.679443
625.808716	-64.701599
626.481628	-66.233704
627.154541	-65.566956
627.827454	-66.104637
628.500366	-65.769226
629.173279	-66.103996
629.846191	-65.335968
630.519104	-64.399910
631.192017	-63.830349
631.864929	-63.911762
632.537842	-63.955563
633.210754	-64.672043
633.883667	-64.126381
634.556580	-62.892803
635.229492	-62.085960
635.902405	-63.709442
636.575317	-65.255951
637.248230	-63.214485
637.921143	-64.536415
638.594055	-60.875748
639.266968	-62.524776
639.939880	-62.773277
640.612793	-62.982159
641.285706	-61.079063
641.958618	-61.089840
642.631531	-61.837688
643.304443	-63.648872
643.977356	-61.550835
644.650269	-60.307724
645.323181	-60.655300
645.996094	-61.900738
646.669006	-61.879662
647.341919	-60.702190
648.014832	-59.558777
648.687744	-63.391033
649.360657	-60.179436
650.033569	-57.878136
650.706482	-57.943726
651.379395	-59.769016
652.052307	-59.612682
652.725220	-56.253223
653.398132	-56.064827
654.071045	-56.488224
654.743958	-57.935589
655.416870	-57.676910
656.089783	-57.456249
656.762695	-55.820599
657.435608	-56.239349
658.108521	-55.204979
658.781433	-54.485786
659.454346	-53.036114
660.127258	-56.036415
660.800171	-53.705322
661.473083	-55.453533
662.145996	-53.883785
662.818909	-55.003639
663.491821	-53.369495
664.164734	-55.142662
664.837646	-54.821369
665.510559	-53.218132
666.183472	-52.850529
666.856384	-50.849728
667.529297	-53.117981
668.202209	-54.780045
668.875122	-52.953465
669.548035	-52.862530
670.220947	-53.442554
670.893860	-52.145943
671.566772	-54.613785
672.239685	-56.102921
672.912598	-54.102207
673.585510	-54.991432
674.258423	-55.296440
674.931335	-56.119102
675.604248	-55.307350
676.277161	-57.264858
676.950073	-57.171108
677.622986	-57.987553
678.295898	-59.240108
678.968811	-56.594727
679.641724	-56.373653
680.314636	-56.917248
680.987549	-56.846313
681.660461	-58.121407
682.333374	-56.993389
683.006287	-58.454254
683.679199	-58.344162
684.352112	-57.967865
685.025024	-57.033787
685.697937	-58.912243
686.370850	-58.249126
687.043762	-60.542503
687.716675	-63.813114
688.389587	-61.354511
689.062500	-61.121853
689.735413	-61.927567
690.408325	-60.612789
691.081238	-61.647682
691.754150	-62.139324
692.427063	-63.893890
693.099976	-60.610790
693.772888	-61.725651
694.445801	-62.306931
695.118713	-60.867840
695.791626	-61.489773
696.464539	-63.438358
697.137451	-63.096283
697.810364	-64.470940
698.483276	-62.782803
699.156189	-63.233246
699.829102	-63.147461
700.502014	-64.052528
701.174927	-63.715160
701.847839	-66.135452
702.520752	-63.646347
703.193665	-64.361237
703.866577	-64.526878
704.539490	-62.211380
705.212402	-63.964397
705.885315	-65.971283
706.558228	-64.751175
707.231140	-65.293777
707.904053	-64.904366
708.576965	-65.051445
709.249878	-64.807915
