Frequency (Hz)	Level (dB)
397.691345	-56.248718
398.364258	-56.068790
399.037170	-55.107773
399.710083	-55.055801
400.382996	-53.620419
401.055908	-54.818211
401.728821	-55.289051
402.401733	-54.478554
403.074646	-53.432640
403.747559	-53.524204
404.420471	-53.791214
405.093384	-54.510555
405.766296	-55.475643
406.439209	-54.678123
407.112122	-55.519493
407.785034	-54.075447
408.457947	-54.841938
409.130859	-56.208698
409.803772	-56.064617
410.476685	-56.443413
411.149597	-55.579655
411.822510	-57.086578
412.495422	-58.889812
413.168335	-58.386784
413.841248	-56.785526
414.514160	-58.570812
415.187073	-59.789612
415.859985	-59.246574
416.532898	-58.826778
417.205811	-59.462170
417.878723	-61.331909
418.551636	-61.126133
419.224548	-61.668518
419.897461	-62.717144
420.570374	-63.302025
421.243286	-62.509476
421.916199	-62.264275
422.589111	-61.521797
423.262024	-63.779667
423.934937	-64.846298
424.607849	-63.515728
425.280762	-63.760330
425.953674	-65.075104
426.626587	-64.160690
427.299500	-64.133492
427.972412	-66.736862
428.645325	-65.557816
429.318237	-66.679359
429.991150	-65.767181
430.664062	-65.725327
431.336975	-65.752487
432.009888	-65.603760
432.682800	-66.756569
433.355713	-68.199661
434.028625	-67.282524
434.701538	-67.817398
435.374451	-68.124832
436.047363	-68.416588
436.720276	-67.296173
437.393188	-69.115952
438.066101	-68.217224
438.739014	-68.254036
439.411926	-68.482994
440.084839	-68.251495
440.757751	-66.939690
441.430664	-69.215935
442.103577	-69.941948
442.776489	-70.454453
443.449402	-70.180801
444.122314	-69.563202
444.795227	-70.887192
445.468140	-68.978271
446.141052	-68.902779
446.813965	-70.160568
447.486877	-70.018364
448.159790	-71.080223
448.832703	-70.671692
449.505615	-71.787056
450.178528	-70.893600
450.851440	-70.062027
451.524353	-70.897728
452.197266	-69.109871
452.870178	-72.244156
453.543091	-70.358261
454.216003	-70.329048
454.888916	-70.232719
455.561829	-71.468811
456.234741	-71.156822
456.907654	-70.358871
457.580566	-71.623474
458.253479	-69.757446
458.926392	-72.022697
459.599304	-70.625664
460.272217	-71.929688
460.945129	-70.884735
461.618042	-70.784676
462.290955	-71.316086
462.963867	-70.950302
463.636780	-71.568779
464.309692	-71.548439
464.982605	-71.749382
465.655518	-72.546326
466.328430	-72.641502
467.001343	-71.332184
467.674255	-70.683144
468.347168	-72.679955
469.020081	-71.436935
469.692993	-71.379089
470.365906	-70.716118
471.038818	-71.684303
471.711731	-72.786995
472.384644	-71.223183
473.057556	-72.061195
473.730469	-71.352310
474.403381	-70.787811
475.076294	-70.556313
475.749207	-71.458832
476.422119	-70.733376
477.095032	-69.651184
477.767944	-69.877090
478.440857	-71.490379
479.113770	-73.059860
479.786682	-71.602325
480.459595	-69.935577
481.132507	-71.600945
481.805420	-70.346207
482.478333	-71.382294
483.151245	-69.823311
483.824158	-71.401405
484.497070	-70.068466
485.169983	-69.778755
485.842896	-71.076103
486.515808	-71.168213
487.188721	-70.261124
487.861633	-69.723442
488.534546	-70.420258
489.207458	-70.921631
489.880371	-70.044228
490.553284	-69.583481
491.226196	-69.281876
491.899109	-68.882523
492.572021	-68.470718
493.244934	-69.735909
493.917847	-70.205482
494.590759	-69.865204
495.263672	-69.339027
495.936584	-69.130226
496.609497	-67.439156
497.282410	-68.525497
497.955322	-68.092010
498.628235	-67.973404
499.301147	-67.902977
499.974060	-67.032440
500.646973	-67.825584
501.319885	-68.479652
501.992798	-67.949379
502.665710	-67.863838
503.338623	-66.907089
504.011536	-66.166466
504.684448	-66.526184
505.357361	-67.674484
506.030273	-66.702209
506.703186	-66.719131
507.376099	-66.578339
508.049011	-65.144402
508.721924	-66.904327
509.394836	-64.318642
510.067749	-66.598694
510.740662	-65.964935
511.413574	-66.129082
512.086487	-66.089752
512.759399	-65.984070
513.432312	-64.472084
514.105225	-66.103127
514.778137	-64.730232
515.451050	-65.587761
516.123962	-64.884552
516.796875	-64.857849
517.469788	-63.870037
518.142700	-62.798519
518.815613	-63.515453
519.488525	-64.039825
520.161438	-61.881886
520.834351	-64.152840
521.507263	-62.760738
522.180176	-61.872971
522.853088	-62.722019
523.526001	-61.672134
524.198914	-60.569077
524.871826	-61.390575
525.544739	-61.205536
526.217651	-59.960346
526.890564	-60.269527
527.563477	-59.253349
528.236389	-59.103760
528.909302	-58.317253
529.582214	-56.637150
530.255127	-59.147045
530.928040	-55.400803
531.600952	-55.167580
532.273865	-56.064880
532.946777	-54.904747
533.619690	-57.169373
534.292603	-55.896069
534.965515	-54.467983
535.638428	-55.139587
536.311340	-55.717369
536.984253	-56.095364
537.657166	-54.835819
538.330078	-56.563530
539.002991	-56.538097
539.675903	-54.855255
540.348816	-55.835285
541.021729	-56.649689
541.694641	-57.541203
542.367554	-57.355911
543.040466	-59.376884
543.713379	-57.638172
544.386292	-59.020233
545.059204	-59.498207
545.732117	-60.625015
546.405029	-60.365780
547.077942	-60.427425
547.750854	-60.789333
548.423767	-63.862965
549.096680	-62.770870
549.769592	-61.735600
550.442505	-62.887405
551.115417	-62.890697
551.788330	-64.530907
552.461243	-64.415108
553.134155	-63.065758
553.807068	-64.155991
554.479980	-65.454460
555.152893	-65.610199
555.825806	-64.735397
556.498718	-65.792046
557.171631	-65.892311
557.844543	-64.780403
558.517456	-66.438065
559.190369	-66.725349
559.863281	-66.741234
560.536194	-66.139153
561.209106	-66.830788
561.882019	-65.854851
562.554932	-66.145576
563.227844	-68.641617
563.900757	-66.410187
564.573669	-66.630112
565.246582	-67.014847
565.919495	-66.629303
566.592407	-67.438240
567.265320	-69.779869
567.938232	-67.906563
568.611145	-68.550171
569.284058	-68.504501
569.956970	-67.678307
570.629883	-69.154877
571.302795	-69.862770
571.975708	-68.719772
572.648621	-68.918396
573.321533	-68.485970
573.994446	-69.094391
574.667358	-69.988274
575.340271	-70.761787
576.013184	-69.158852
576.686096	-68.779762
577.359009	-68.832314
578.031921	-69.441772
578.704834	-67.816025
579.377747	-69.135078
580.050659	-70.330315
580.723572	-70.124382
581.396484	-70.057312
582.069397	-69.171257
582.742310	-70.389282
583.415222	-68.555885
584.088135	-69.408310
584.761047	-69.085869
585.433960	-68.701241
586.106873	-69.422089
586.779785	-70.467194
587.452698	-68.852341
588.125610	-69.265358
588.798523	-69.768608
589.471436	-69.977654
590.144348	-69.363945
590.817261	-69.812202
591.490173	-70.165749
592.163086	-69.879898
592.835999	-69.829155
593.508911	-69.738304
594.181824	-69.895264
594.854736	-70.638878
595.527649	-70.227524
596.200562	-70.799286
596.873474	-71.277588
597.546387	-70.944969
598.219299	-71.935692
598.892212	-72.194344
599.565125	-71.060493
600.238037	-71.033234
600.910950	-70.922813
601.583862	-71.370415
