Frequency (Hz)	Level (dB)
543.040466	-66.750504
543.713379	-67.163887
544.386292	-66.375145
545.059204	-65.978264
545.732117	-66.293198
546.405029	-64.918182
547.077942	-64.518005
547.750854	-65.284554
548.423767	-64.666145
549.096680	-64.949089
549.769592	-66.584557
550.442505	-63.397461
551.115417	-65.150574
551.788330	-65.194901
552.461243	-65.314514
553.134155	-63.683666
553.807068	-63.418262
554.479980	-65.467796
555.152893	-63.750660
555.825806	-63.608955
556.498718	-62.403790
557.171631	-62.496605
557.844543	-62.036602
558.517456	-62.808273
559.190369	-63.060162
559.863281	-64.538963
560.536194	-63.377472
561.209106	-62.785194
561.882019	-61.708366
562.554932	-61.627033
563.227844	-61.613430
563.900757	-59.307510
564.573669	-59.466934
565.246582	-59.765144
565.919495	-60.804199
566.592407	-58.329098
567.265320	-59.233643
567.938232	-58.381184
568.611145	-60.666245
569.284058	-59.085522
569.956970	-57.372696
570.629883	-60.509739
571.302795	-60.061890
571.975708	-59.799812
572.648621	-59.448360
573.321533	-58.663532
573.994446	-57.862186
574.667358	-59.132381
575.340271	-57.731583
576.013184	-57.556637
576.686096	-57.679844
577.359009	-58.328514
578.031921	-57.978271
578.704834	-56.081158
579.377747	-56.487179
580.050659	-57.872631
580.723572	-56.801167
581.396484	-56.731544
582.069397	-55.560833
582.742310	-57.091686
583.415222	-56.846310
584.088135	-58.748203
584.761047	-57.754311
585.433960	-56.685677
586.106873	-58.098434
586.779785	-57.948479
587.452698	-59.637939
588.125610	-57.708439
588.798523	-59.609200
589.471436	-59.579552
590.144348	-57.919804
590.817261	-58.751595
591.490173	-58.829159
592.163086	-59.190166
592.835999	-58.867668
593.508911	-61.711769
594.181824	-59.846264
594.854736	-60.386757
595.527649	-59.699444
596.200562	-59.646637
596.873474	-60.207176
597.546387	-60.647736
598.219299	-63.518028
598.892212	-60.905575
599.565125	-61.381599
600.238037	-61.816734
600.910950	-61.152576
601.583862	-64.409134
602.256775	-64.227020
602.929688	-63.776550
603.602600	-62.322651
604.275513	-62.153072
604.948425	-63.232651
605.621338	-63.218346
606.294250	-63.073360
606.967163	-64.994186
607.640076	-61.619759
608.312988	-64.396507
608.985901	-63.063152
609.658813	-63.647785
610.331726	-63.605358
611.004639	-65.056557
611.677551	-64.846886
612.350464	-65.195412
613.023376	-66.143295
613.696289	-63.706825
614.369202	-63.592060
615.042114	-64.976982
615.715027	-65.356728
616.387939	-66.194214
617.060852	-65.755310
617.733765	-65.167053
618.406677	-64.504868
619.079590	-65.617508
619.752502	-66.091896
620.425415	-63.063606
621.098328	-66.173042
621.771240	-64.978371
622.444153	-67.143501
623.117065	-65.697601
623.789978	-65.736099
624.462891	-67.215508
625.135803	-67.877647
625.808716	-68.206802
626.481628	-66.426666
627.154541	-65.168503
627.827454	-66.447151
628.500366	-67.774902
629.173279	-67.081146
629.846191	-68.165604
630.519104	-68.170464
631.192017	-67.969170
631.864929	-67.015984
632.537842	-67.873962
633.210754	-67.604492
633.883667	-68.406845
634.556580	-67.745338
635.229492	-68.346657
635.902405	-68.501289
636.575317	-67.737923
637.248230	-69.125595
637.921143	-68.228188
638.594055	-66.521042
639.266968	-69.130859
639.939880	-69.682549
640.612793	-68.291145
641.285706	-69.041458
641.958618	-69.485405
642.631531	-69.106758
643.304443	-73.886093
643.977356	-70.385788
644.650269	-69.322388
645.323181	-68.480942
645.996094	-70.117088
646.669006	-70.194389
647.341919	-71.023651
648.014832	-69.354050
648.687744	-69.686905
649.360657	-70.392548
650.033569	-68.844002
650.706482	-69.104523
651.379395	-70.590057
652.052307	-70.619308
652.725220	-69.138908
653.398132	-69.009369
654.071045	-68.509529
654.743958	-69.004341
655.416870	-70.754074
656.089783	-70.968750
656.762695	-68.819672
657.435608	-70.720062
658.108521	-70.380722
658.781433	-68.542587
659.454346	-67.983856
660.127258	-70.816071
660.800171	-70.296471
661.473083	-71.291931
662.145996	-70.788086
662.818909	-71.711266
663.491821	-69.712990
664.164734	-72.145271
664.837646	-71.147453
665.510559	-71.308533
666.183472	-69.911003
666.856384	-70.339790
667.529297	-69.631935
668.202209	-70.557381
668.875122	-71.531174
669.548035	-70.803001
670.220947	-71.369736
670.893860	-69.091270
671.566772	-70.717873
672.239685	-71.943222
672.912598	-70.742096
673.585510	-71.003036
674.258423	-71.064674
674.931335	-72.217064
675.604248	-70.962326
676.277161	-72.278755
676.950073	-74.921257
677.622986	-70.648888
678.295898	-71.035530
678.968811	-72.231995
679.641724	-72.076096
680.314636	-70.932205
680.987549	-71.694260
681.660461	-72.961082
682.333374	-72.677567
683.006287	-70.977905
683.679199	-70.124702
684.352112	-69.715981
685.025024	-72.228134
685.697937	-72.335617
686.370850	-71.975075
687.043762	-73.455307
687.716675	-73.990509
688.389587	-70.991211
689.062500	-71.084801
689.735413	-73.507317
690.408325	-70.986923
691.081238	-72.994583
691.754150	-72.139221
692.427063	-71.918541
693.099976	-71.867470
693.772888	-71.315796
694.445801	-72.254440
695.118713	-71.538429
695.791626	-71.255783
696.464539	-73.127838
697.137451	-70.771950
697.810364	-71.669083
698.483276	-71.392525
699.156189	-72.348091
699.829102	-71.917931
700.502014	-71.626068
701.174927	-71.781403
701.847839	-71.669853
702.520752	-72.799980
703.193665	-73.940529
703.866577	-72.723572
704.539490	-71.977226
705.212402	-72.391251
705.885315	-74.153641
706.558228	-71.431831
707.231140	-72.861015
707.904053	-71.512283
708.576965	-72.030197
709.249878	-72.433922
709.922791	-74.054024
710.595703	-71.653572
711.268616	-71.725487
